time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0110500	9.81301	8.66347	7.70627	7.47543	7.22776	6.79404	6.38937	7.19126	5.34493	16.9034	27.8788	31.5315	27.5504	19.5749	14.025	10.41697	7.07373	8.39345	6.02957	5.65489	5.70553	6.81545	5.52159	7.47204
PF3D7_0110600	26.8145	113.846	231.76	169.29	127.032	103.808	113.61	94.7173	77.1334	86.6331	79.4178	64.5082	42.0455	37.9256	32.7123	37.4984	101.448	86.6767	99.1606	108.626	105.42	109.496	93.3509	85.6464
PF3D7_0110700	28.0801	28.9264	30.9856	35.2126	26.3656	20.3081	24.3728	13.2717	14.5375	14.3721	34.4231	110.511	162.553	129.248	63.2124	32.7583	20.8634	23.8077	26.59	20.523	19.4926	18.2521	15.3723	12.4255
PF3D7_0110800	27.8346	212.421	194.096	143.784	116.7	94.6644	91.2268	70.4556	80.7259	119.107	125.88	108.286	58.9579	36.8864	28.6293	41.4205	116.477	116.045	124.739	106.317	101.342	96.8099	92.5551	91.2732
PF3D7_0110900	3.58089	2.25206	5.47425	29.8016	42.6744	37.2696	36.7455	50.8102	42.879	36.0029	32.1786	30.6029	26.9508	18.0647	7.34333	6.51075	2.07533	6.96495	21.3646	29.5471	43.7984	41.4754	40.3541	44.339
PF3D7_0111000	17.4737	7.48867	1.806276	1.268456	1.129481	1.0932594	1.216954	1.101759	1	1.0524636	1.287616	2.49324	10.54639	15.3343	15.5477	16.955	7.52701	14.1022	3.23842	1.656998	1.239624	1.127527	1.0927387	1.0649581
PF3D7_0111200	30.186	8.07943	1	1.848184	1	1	1	1.643011	1	2.32606	2.81744	20.2817	49.9108	53.7799	52.9047	24.6379	8.29623	13.8485	4.41175	2.3285	1	1.35815	1	1
PF3D7_0111300	23.5751	7.37044	2.45308	1.170511	1.0751911	1.193417	1.269975	1.0923323	1.131409	1.856864	5.33214	12.7936	26.5959	31.568	31.2649	26.6729	8.68307	11.2026	2.53504	1.534138	1.142315	1.236569	1.144253	1.318279
PF3D7_0111400	13.085	4.89321	1.750182	1.205784	1.0952828	1.0653601	1.114038	1.156006	1.185025	1.546934	4.40995	6.85258	16.7694	21.862	22.5071	16.3628	6.2319	5.39535	2.13126	1.279341	1.0801524	1.0868933	1.194986	1.139421
PF3D7_0111500	198.905	163.793	17.0622	3.20303	1.952051	1.349858	1.244168	1.601245	1.87155	2.3777	12.0146	31.3898	53.1705	52.3508	61.7726	142.248	108.725	107.323	40.5223	10.20153	4.88994	2.22792	2.21766	2.10877
PF3D7_0111600	5.07345	3.05847	1	1.739874	1.799351	1.822482	1.820023	2.79488	4.85838	5.39558	7.7642	5.07963	6.11981	6.27543	5.37505	3.6243	2.13147	1.784545	1.0992027	1.463541	1.192119	2.43711	2.16841	4.15087
PF3D7_0111800	21.4502	8.68332	1.883104	1.436043	1.186943	1.692469	2.78992	5.07698	11.4548	38.0021	46.6091	53.2577	54.9212	43.4905	32.1143	22.1536	7.80723	8.63278	3.11123	1.935919	1.503223	2.57526	6.24103	13.4969
PF3D7_0111900	106.109	40.8369	17.6084	28.2052	52.9335	40.7931	76.3807	87.8395	58.9335	79.3504	72.5888	77.1815	112.926	137.434	150.647	160.617	46.1626	36.7886	26.9178	45.8538	53.9818	68.1114	44.528	56.4342
PF3D7_0112000	4.39632	2.96148	8.00938	15.3117	19.1172	21.4889	29.7159	34.0838	31.9973	19.297	12.481	13.958	17.2619	18.5483	11.7131	9.21639	5.11048	7.14082	9.60208	16.5699	23.6088	32.0198	26.2454	24.8486
