time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0109100	2.51974	1.912312	1.38108	1.240654	1.279668	1.181752	1.247374	1.262865	1.522124	2.59472	13.9425	80.8597	84.2565	54.0767	5.05826	2.3006	2.08704	1.703516	1.307262	1.494444	1.644242
PF3D7_0109200	16.1868	23.5215	28.7688	32.4377	39.3567	39.4212	38.4467	39.3409	49.2878	34.03	19.6357	19.9981	10.48608	9.81862	20.2114	23.3835	29.706	34.1491	40.0835	39.4423	41.3628
PF3D7_0109300	1.909972	1.534647	1.216132	1.321843	1.631104	1.443834	3.60123	6.88179	2.94976	2.93761	2.74029	2.31419	4.33645	4.35053	2.53841	1.545134	1.948393	2.38599	5.74607	6.25741	5.07247
PF3D7_0109400	8.24832	5.69566	16.4324	45.3954	93.1521	106.133	105.688	93.8863	40.7884	27.7665	27.0289	32.0953	29.8555	26.6027	13.9094	20.2036	57.6326	88.9411	99.3987	87.0948	61.5412
PF3D7_0109500	213.441	231.331	222.686	194.399	161.356	129.824	96.5964	92.7505	120.62	76.9225	46.2505	51.0126	48.0691	36.5444	167.429	185.868	187.831	125.319	90.3872	91.2958	96.4616
PF3D7_0109600	9.62109	5.88121	8.52534	8.63641	10.41168	19.5218	17.7412	15.6798	10.07544	4.8774	4.34459	7.05264	5.30089	6.53504	5.36297	7.18457	9.98737	10.26538	14.6086	18.1829	8.68113
PF3D7_0109700	170.249	134.038	118.802	94.1498	69.1658	39.7494	29.5181	26.3105	29.1844	14.3445	10.27223	13.5666	21.3014	37.0066	108.032	89.7382	73.4448	39.7715	30.2181	28.6754	25.2159
PF3D7_0109800	224.833	175.952	141.68	133.563	110.97	79.5037	69.9195	65.2567	62.7986	43.1717	25.6739	25.9156	28.685	45.3993	124.321	128.171	111.796	78.3199	67.4387	65.8066	61.8139
PF3D7_0109850	1.482536	1.147412	1.242712	1.128884	1.101625	1.194446	2.98839	9.42248	24.7644	29.3841	20.4358	12.4987	5.9425	4.84032	1.356775	1.300332	1.343521	1.533482	4.00518	8.16897	15.1402
PF3D7_0109950	12.5752	17.8545	27.5082	26.2125	27.2041	45.2878	60.8031	77.0636	88.3224	73.8804	47.3487	38.173	24.5672	15.749	18.1388	18.6275	24.8408	40.7302	56.0794	66.7666	67.3631
PF3D7_0110000	10.30868	12.6506	16.0947	20.9658	26.08	33.7228	32.0824	37.8665	35.9754	26.1902	19.5224	18.0429	22.7247	30.8732	16.9335	17.7651	29.545	34.9922	39.611	39.1463	32.7528
PF3D7_0110100	30.3087	28.7124	21.3614	17.0242	15.9552	18.3081	21.1375	21.9453	17.7095	11.4986	7.51081	5.74573	4.90751	6.45802	18.1755	17.3552	16.8531	17.8688	18.9718	19.2266	18.1274
PF3D7_0110200	25.5474	29.3499	27.5407	32.3457	37.6476	28.4548	30.7859	32.0715	32.9534	19.6809	14.3708	10.73002	7.57014	10.04556	19.4482	23.8076	28.783	32.1373	30.5422	29.9263	27.4696
PF3D7_0110300	3.52233	3.77383	5.01557	4.59503	2.4241	2.12485	3.22362	1	1.703696	1.61846	1	2.54439	1	1.832202	4.15435	2.43634	1	1.414189	2.22031	1.348269	1.379106
PF3D7_0110400	284.028	251.65	212.831	185.576	134.886	97.3505	87.2641	80.2007	87.1443	52.6609	34.1646	39.1619	56.46	55.4404	159.483	175.79	142.641	101.72	84.6507	84.2728	74.6746
PF3D7_0110500	9.63184	19.9634	28.8788	34.745	42.6801	36.1139	39.4279	32.7862	21.3199	13.3513	10.46754	16.1692	22.0097	14.9446	15.3856	26.7072	35.6281	34.1307	30.2299	30.1305	25.5071
PF3D7_0110600	157.64	122.246	92.4294	86.5402	75.8761	50.5319	41.8042	42.5985	46.0595	39.4206	45.5651	106.792	185.597	133.857	81.9618	80.6581	73.1724	53.247	40.3304	42.2309	39.5251
PF3D7_0110700	24.3888	14.3179	11.0723	13.3548	43.9097	86.5274	151.268	156.634	86.6292	49.0212	29.4611	46.1099	46.3627	36.6977	12.9933	11.5845	27.3131	75.3085	135.37	147.916	114.056
PF3D7_0110800	137.676	108.28	105.178	112.788	146.51	94.3816	78.0648	79.3801	54.0743	39.1112	74.1246	185.042	201.217	121.99	79.5379	112.672	106.611	96.0429	79.4395	69.6778	57.7789
PF3D7_0110900	27.2996	33.3071	32.5714	38.5856	36.3088	28.3167	23.7694	18.8283	6.8248	3.14454	4.73998	3.04287	3.99789	3.52129	23.4814	32.839	32.9728	25.3082	22.8695	19.8808	12.4478
PF3D7_0111000	2.17703	1.977185	1.355696	1.485753	2.01967	6.5383	15.6912	21.891	23.4948	26.3409	25.3853	26.3163	14.9978	11.2474	3.35336	2.13167	3.07912	6.81777	13.5976	17.696	20.8951
PF3D7_0111200	1.701005	1	1	3.13287	8.14856	19.7373	26.2986	49.3055	36.7296	22.1256	16.2069	11.3506	7.57786	4.47312	1	2.79618	7.24163	11.4305	25.3989	31.4444	32.0922
PF3D7_0111300	2.20251	1.780177	2.64953	7.59732	17.9519	28.4606	36.7087	50.0629	56.7622	54.091	35.8079	20.6129	11.4544	9.20485	3.00536	5.02616	12.0787	23.7857	36.9102	46.0876	48.5161
PF3D7_0111400	2.35457	2.01836	2.0422	5.68938	10.93398	16.1363	20.4486	30.3885	30.6526	28.2815	20.2186	11.5936	8.59392	6.78	3.56427	4.02013	7.60859	12.4732	20.8775	26.4379	26.3479
PF3D7_0111500	5.12189	2.98668	3.41607	9.67554	26.6038	48.8868	65.193	72.4296	67.9656	158.614	299.791	368.989	196.704	88.4217	5.82603	6.22599	17.7656	36.2727	56.2042	64.025	66.1914
PF3D7_0111600	5.23041	8.31149	9.13	9.63628	8.02694	7.7659	8.18801	7.79161	4.92652	4.10547	2.94363	2.84471	3.35644	2.27602	7.50613	11.5322	8.75469	8.30031	7.64404	6.71409	8.09191
PF3D7_0111800	12.4979	27.5823	55.5254	73.2636	88.379	68.4825	63.8837	58.6778	46.4416	30.0327	18.9569	13.585	14.4155	13.3567	25.6509	49.5176	62.154	63.2994	59.2997	56.4457	46.3371
PF3D7_0111900	23.4001	29.0554	47.8707	50.2884	57.8236	101.063	102.508	93.4602	107.732	80.0035	52.0026	40.754	30.5414	24.2894	24.5233	23.1648	60.2921	84.1304	66.6226	88.5492	99.6239
