time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
PF3D7_0108800	17.4243	11.3848	11.3674	7.58641	5.53982	6.71644	8.79333	9.71835	13.7156	11.6983	15.5384	23.3569	30.3985	24.8105	20.7333	22.0549	22.5443	15.3838	19.9539	17.7584	9.94381	13.4621
PF3D7_0108900	2.68524	14.2988	11.9945	3.35173	1.987572	1.50736	1.536196	1.273748	1.442574	1.616576	1.0929648	1.798274	1.125204	1.232741	1.0884556	1.278083	1	5.26311	13.6169	19.191	65.7032	5.74028
PF3D7_0109000	47.7625	436.782	449.869	198.182	100.6487	53.3316	33.3495	27.7779	21.1886	19.405	17.103	48.0822	12.6859	13.427	18.9996	19.0827	21.4349	356.269	3882.99	6086.79	3024.36	4433.97
PF3D7_0109100	6.81331	8.79156	9.98727	6.55818	4.71513	3.92564	2.85883	2.3405	2.42794	2.98934	2.51887	3.55209	2.34081	2.34207	2.21445	2.17084	2.17332	5.28696	16.3736	35.2309	13.7291	6.96582
PF3D7_0109200	20.9728	16.6974	12.6388	10.94583	16.4872	24.8154	27.9207	32.102	37.8272	45.8928	45.0342	47.3518	44.9777	51.2789	57.6901	46.5377	72.1547	36.4923	27.2887	23.9024	16.7955	21.228
PF3D7_0109300	16.4895	15.8637	12.0359	5.52314	2.7387	2.66389	1.763543	1.945009	1.630225	2.43673	2.15533	4.01163	4.56581	6.66431	6.8629	7.91182	4.45722	3.08819	5.35549	7.78767	4.90707	2.2273
PF3D7_0109400	86.9277	105.26	78.3384	47.3522	39.9673	24.8968	27.0889	18.0293	19.7314	25.2464	21.3237	27.6031	42.5583	64.9115	121.272	113.814	114.564	60.1323	79.8374	45.5756	74.9887	35.7541
PF3D7_0109500	115.189	73.6579	50.9655	45.8356	56.68	72.0061	103.512	154.657	204.238	365.734	274.363	316.153	374.607	345.106	278.611	185.584	228.458	151.828	169.693	105.295	46.4111	69.7105
PF3D7_0109600	22.0976	23.188	16.327	25.835	33.0272	21.4329	20.179	18.8425	18.4133	14.7226	10.9018	21.1232	16.127	15.2447	24.2022	28.4086	12.0383	9.97514	10.19291	9.93074	17.7599	11.0476
PF3D7_0109700	16.5797	18.379	38.5293	123.707	104.828	90.0945	78.6348	78.7653	71.1223	70.1031	57.0621	56.2762	31.0591	15.8298	8.14593	8.27741	7.07736	5.45737	2.49539	4.65261	9.46757	7.29253
PF3D7_0109800	29.1765	23.2503	41.8954	129.13	170.502	183.242	147.158	148.696	132.252	127.311	109.758	120.36	87.1919	71.6111	58.5594	58.0161	54.9462	30.6245	22.1154	32.6438	30.4236	36.9435
PF3D7_0109850	9.3883	6.06237	3.36478	1.545186	1.542416	1.25333	1.334661	1.159466	1.276228	2.00055	2.64785	1.284705	1.281321	1.406735	2.76667	3.59186	14.2013	21.9122	25.0177	19.0991	6.00604	16.9764
PF3D7_0109950	26.2984	21.6785	16.1792	10.7542	5.69192	5.2406	4.36122	4.97395	6.25663	7.10276	14.9863	14.2439	13.2273	14.361	29.2501	23.264	39.7687	29.1304	40.8921	43.012	19.8239	71.899
PF3D7_0110000	167.446	220.423	204.916	153.581	152.301	137.636	123.29	104.514	109.634	115.301	84.0456	81.5955	71.9672	63.6483	55.2634	71.2002	73.6253	90.8093	193	237.434	293.764	218.346
PF3D7_0110100	6.45541	6.53615	5.35467	5.99001	7.1983	13.3922	12.844	14.7061	13.8773	15.0891	15.2753	12.5353	11.2423	11.4238	13.4914	11.7601	15.4833	6.37097	7.2866	7.31664	5.66069	6.53627
